url	passage	tokenid	token	form	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.0	Hylas		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.1	enim	uninflected conjunction	ls.n15790:enim
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.2	in	uninflected preposition	ls.n22111:in1
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.3	Moesia		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.4	a	uninflected preposition	ls.n4:ab
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.5	nymphis	noun: feminine dative plural	ls.n31537:nympha
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.5	nymphis	noun: feminine ablative plural	ls.n31537:nympha
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.6	iuxta	uninflected preposition	ls.n25450:juxta
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.7	Cion		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.9	Ascanium		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.10	raptus	participle: perfect passive masculine nominative singular	ls.n40405:rapio
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.11	est	finite verb: third singular present indicative active	ls.n46529:sum1
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.11_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.12	quem	pronoun: masculine accusative singular	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.12	quem	pronoun: feminine accusative singular	ls.n40242:quis1
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.12	quem	pronoun: masculine accusative singular	ls.n40103:qui1
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.13	dum	uninflected conjunction	ls.n14902:dum
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.14	Hercules	noun: masculine nominative singular	ls.n20511:Hercules
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.14	Hercules	noun: masculine nominative plural	ls.n20511:Hercules
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.15	et	uninflected conjunction	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.16	Polyphemus		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.17	requirunt		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.17_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.18	uento	participle: perfect passive masculine dative singular	ls.n50442:venio
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.18	uento	participle: perfect passive masculine ablative singular	ls.n50442:venio
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.18	uento	participle: perfect passive neuter ablative singular	ls.n50442:venio
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.19	rapta	participle: perfect passive feminine nominative singular	ls.n40405:rapio
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.19	rapta	participle: perfect passive feminine ablative singular	ls.n40405:rapio
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.19	rapta	participle: perfect passive feminine vocative singular	ls.n40405:rapio
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.19	rapta	participle: perfect passive neuter nominative plural	ls.n40405:rapio
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.19	rapta	participle: perfect passive neuter accusative plural	ls.n40405:rapio
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.19	rapta	participle: perfect passive neuter vocative plural	ls.n40405:rapio
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.20	naue	noun: feminine ablative singular	ls.n30568:navis
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.21	deserti	participle: perfect passive masculine nominative plural	ls.n13352:desero2
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.21	deserti	participle: perfect passive masculine genitive singular	ls.n13352:desero2
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.21	deserti	participle: perfect passive masculine vocative plural	ls.n13352:desero2
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.21	deserti	participle: perfect passive neuter genitive singular	ls.n13352:desero2
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.22	sunt	finite verb: third plural present indicative active	ls.n46529:sum1
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.22_0	.		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.23	Polyphemus		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.24	ab	uninflected preposition	ls.n4:ab
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.25	Hercule	noun: masculine ablative singular	ls.n20511:Hercules
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.26	quoque	uninflected preposition	ls.n40282:quoque1
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.26	quoque	pronoun: masculine ablative singular	ls.n40248:quisque
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.26	quoque	pronoun: feminine ablative singular	ls.n40248:quisque
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.26	quoque	pronoun: neuter ablative singular	ls.n40248:quisque
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.27	relictus	participle: perfect passive masculine nominative singular	ls.n40982:relinquo
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.27_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.28	condita	participle: perfect passive feminine nominative singular	ls.n10029:condo
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.28	condita	participle: perfect passive feminine ablative singular	ls.n10029:condo
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.28	condita	participle: perfect passive feminine vocative singular	ls.n10029:condo
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.28	condita	participle: perfect passive neuter nominative plural	ls.n10029:condo
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.28	condita	participle: perfect passive neuter accusative plural	ls.n10029:condo
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.28	condita	participle: perfect passive neuter vocative plural	ls.n10029:condo
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.29	in	uninflected preposition	ls.n22111:in1
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.30	Moesia		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.31	ciuitate	noun: feminine ablative singular	ls.n8465:civitas
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.31_0	,		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.32	periit	finite verb: third singular perfect indicative active	ls.n34869:pereo
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.33	apud	uninflected preposition	ls.n3250:apud
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.34	Chalybas		ls.null
https://lingualatina.github.io/texts/browsable/hyginus/14pr/	14pr.25	14pr.25.34_0	.		ls.null
